H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,67,48,135,108,78,95,41
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,277,278,203,426,196,569,374
LOC102725121,0,0,0,0,0,0,0
FAM138D,2,0,1,0,0,0,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0
MIR12136,2,0,0,0,0,0,0
LOC100133331,0,0,1,0,1,0,1
LOC100288069,6,12,14,10,17,2,4
FAM87B,0,0,1,0,0,0,0
LINC00115,51,85,72,31,63,55,26
LINC01128,439,487,480,453,278,363,226
FAM41C,78,57,127,111,42,80,70
LINC02593,1,0,7,0,1,0,1
SAMD11,20,15,50,4,36,2,50
NOC2L,3219,2058,3590,2352,1825,2353,2227
KLHL17,273,286,293,254,305,335,173
PLEKHN1,75,88,44,69,105,56,30
PERM1,0,2,0,1,5,0,0
HES4,270,485,1029,122,2961,105,455
ISG15,3670,3022,1258,3934,2904,2915,3218
AGRN,1649,1391,768,1694,760,1254,1251
LOC100288175,179,228,41,142,539,107,116
RNF223,0,0,0,0,2,0,0
C1orf159,185,127,162,175,135,245,147
LINC01342,0,4,0,3,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,1,3,0,6,0,5,0
TNFRSF18,32,82,13,65,64,48,32
TNFRSF4,3,10,1,4,1,4,2
SDF4,2489,1872,3123,2161,1581,2289,2103
B3GALT6,2023,1682,2092,1611,1018,1591,991
C1QTNF12,92,150,68,133,204,178,97
UBE2J2,4198,3436,5121,3683,2802,3541,2829
SCNN1D,20,34,15,14,9,22,11
ACAP3,381,305,382,387,291,401,289
MIR6726,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0
PUSL1,3630,2623,3350,2593,1906,2998,1923
INTS11,2959,1995,2553,1749,1603,2176,1628
MIR6727,0,0,0,0,0,0,0
CPTP,598,431,686,407,484,469,362
TAS1R3,0,3,0,0,1,1,1
DVL1,1157,893,973,1135,651,1121,569
MIR6808,0,0,0,0,0,0,0
MXRA8,131,178,190,156,120,224,94
AURKAIP1,37627,27038,29313,26473,20058,23904,19877
CCNL2,2070,1584,2514,1673,1644,1572,1489
MRPL20-AS1,1023,1205,1320,1007,939,1155,671
MRPL20,30729,16716,18368,20148,14888,14497,13564
ANKRD65,48,94,46,135,118,60,191
TMEM88B,0,0,0,1,4,1,0
LINC01770,95,182,17,98,20,228,41
VWA1,3733,1281,1549,2114,1413,1297,2032
ATAD3C,54,28,13,87,39,59,43
ATAD3B,5068,1958,3575,2606,2525,1581,2604
ATAD3A,3356,1432,3472,1996,1571,1882,1781
TMEM240,150,141,152,117,96,174,41
SSU72,21928,16378,18874,15582,10626,16906,11624
FNDC10,1293,1145,1448,1228,758,2193,504
LOC105378586,1,0,0,1,1,1,0
MIB2,754,924,760,1499,2293,760,1138
MMP23B,4,12,3,2,4,10,5
MMP23A,1,1,0,0,1,1,0
CDK11B,999,801,1013,993,738,570,385
SLC35E2B,240,251,157,120,126,140,137
CDK11A,822,755,854,611,617,405,355
SLC35E2A,298,449,336,346,149,417,207
NADK,1116,1096,1414,1102,664,1649,930
GNB1,8392,6141,5228,7573,5086,6941,4904
CALML6,0,3,2,2,1,2,2
TMEM52,1206,1047,795,963,327,1219,617
CFAP74,2,3,3,3,1,1,0
GABRD,49,46,31,38,23,41,10
LOC105378591,3,4,2,1,1,2,2
PRKCZ,1139,814,976,839,705,887,526
PRKCZ-AS1,39,14,30,33,23,25,22
FAAP20,12461,9936,5756,8908,6303,8903,6033
SKI,894,754,453,937,443,873,649
MORN1,50,41,62,54,27,36,29
LOC100129534,1,10,1,5,8,4,5
RER1,8987,6428,8124,5437,5124,4880,5386
PEX10,1706,1096,1784,1418,999,1071,804
PLCH2,0,3,2,1,1,1,0
PANK4,122,123,200,92,73,258,124
HES5,9,15,173,3,118,6,15
TNFRSF14-AS1,0,0,0,0,1,0,0
TNFRSF14,8,6,0,3,1,3,3
LOC100996583,1,1,0,1,0,0,0
PRXL2B,1449,867,1467,1042,622,761,545
MMEL1,1,10,3,2,2,7,2
TTC34,0,0,0,1,1,0,0
ACTRT2,0,0,2,4,0,0,0
PRDM16-DT,0,4,51,0,8,0,0
PRDM16,9,12,18,28,16,7,4
MIR4251,0,0,0,0,0,0,0
ARHGEF16,795,489,655,533,569,355,600
MEGF6,135,144,153,169,98,144,144
MIR551A,0,0,0,0,0,0,0
TPRG1L,774,534,977,540,641,549,497
WRAP73,1154,1241,1387,689,610,934,919
TP73,20,87,41,28,9,78,9
TP73-AS1,398,521,400,380,165,580,201
CCDC27,0,0,0,0,0,0,0
SMIM1,316,446,211,251,105,340,165
LRRC47,2021,1499,3215,1936,1980,2604,1219
CEP104,695,410,646,536,413,494,354
DFFB,282,229,320,247,99,314,190
C1orf174,1773,1453,2318,1683,1158,2538,1555
LINC01134,3,1,0,2,1,2,1
LINC01346,0,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0,0
LINC01777,0,0,1,0,1,0,0
LINC01646,0,0,0,0,0,0,0
AJAP1,183,167,362,91,19,161,452
MIR4689,0,0,0,0,0,0,0
NPHP4,348,120,214,430,245,372,188
KCNAB2,31,57,16,73,12,92,21
CHD5,43,65,34,46,152,35,30
RPL22,109509,108550,69731,100038,67609,79508,71406
LOC102724450,5,22,6,7,0,14,2
RNF207,17,32,27,21,12,47,6
ICMT,3086,1993,3107,2932,1351,2168,1480
LINC00337,86,250,87,123,85,198,34
HES3,5,16,49,8,15,8,1
GPR153,86,162,323,134,70,230,23
ACOT7,5797,3869,4260,3634,2047,3846,4126
HES2,18,64,37,6,42,16,79
ESPN,1288,1350,575,414,207,900,297
MIR4252,0,0,0,0,0,0,0
TNFRSF25,196,243,109,215,158,187,86
PLEKHG5,175,189,115,205,203,295,118
NOL9,1739,1090,1952,1380,938,1005,807
TAS1R1,1,0,2,0,1,1,0
ZBTB48,519,390,456,347,397,360,278
KLHL21,640,274,357,612,353,339,383
