H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,43,17,45,50,30,33,24
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,171,119,95,217,108,261,250
LOC102725121,0,0,0,0,0,0,0
FAM138D,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0
MIR12136,0,0,0,0,0,0,0
LOC100133331,0,0,0,0,0,0,0
LOC100288069,4,7,4,4,6,1,3
FAM87B,0,0,0,0,0,0,0
LINC00115,30,34,28,19,17,18,15
LINC01128,262,209,167,211,122,155,144
FAM41C,45,28,45,50,18,30,42
LINC02593,1,0,1,0,0,0,0
SAMD11,7,9,11,3,8,0,9
NOC2L,1750,867,1391,844,600,611,1290
KLHL17,168,124,120,129,116,142,104
PLEKHN1,43,27,18,31,43,19,16
PERM1,0,1,0,1,0,0,0
HES4,187,333,42,71,1047,53,266
ISG15,1977,1320,519,1555,963,984,2266
AGRN,1034,650,323,877,354,562,796
LOC100288175,119,124,20,84,240,55,88
RNF223,0,0,0,0,0,0,0
C1orf159,110,49,64,92,65,113,86
LINC01342,0,2,0,3,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,1,0,0,1,0,1,0
TNFRSF18,22,23,5,29,22,17,15
TNFRSF4,2,3,0,1,1,1,1
SDF4,1471,822,1281,1028,659,761,1238
B3GALT6,1125,708,840,747,446,654,599
C1QTNF12,68,74,31,59,93,69,67
UBE2J2,2333,1449,2058,1588,1117,1182,1748
SCNN1D,9,14,5,9,5,13,4
ACAP3,230,149,173,215,130,160,166
MIR6726,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0
PUSL1,2089,1140,1374,1142,775,1155,1237
INTS11,1549,839,1103,673,588,608,989
MIR6727,0,0,0,0,0,0,0
CPTP,356,195,253,192,206,171,206
TAS1R3,0,0,0,0,0,0,1
DVL1,674,392,383,497,268,434,337
