H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,82,52,96,4,18,54,24
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,47,46,90,7,9,97,123
LOC102725121,0,0,0,1,0,0,0
FAM138D,0,0,0,0,0,1,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,0,1,0,0,0,0
MIR12136,0,0,0,0,0,0,0
LOC100133331,0,0,0,0,0,1,0
LOC100288069,5,3,6,1,0,5,1
FAM87B,2,1,1,0,0,1,1
LINC00115,30,34,46,8,5,28,38
LINC01128,270,234,292,44,50,133,176
FAM41C,55,42,94,12,15,85,65
LINC02593,2,1,4,4,5,20,5
SAMD11,87,43,166,41,10,290,42
NOC2L,755,578,982,149,169,577,489
KLHL17,167,101,211,30,33,157,189
PLEKHN1,54,29,23,14,8,29,52
PERM1,0,1,0,0,0,0,0
HES4,4327,2091,1794,1078,532,956,971
ISG15,5333,18355,3200,1365,1821,1630,1304
AGRN,2228,1637,1058,228,368,698,1205
LOC100288175,86,49,11,30,11,6,46
RNF223,0,0,0,1,0,0,0
C1orf159,84,75,138,19,14,76,102
LINC01342,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0
TNFRSF18,7,59,0,3,1,3,4
TNFRSF4,1,5,9,1,0,5,11
SDF4,4127,3269,6073,657,771,5485,5400
B3GALT6,1870,1119,2125,285,273,1184,1166
C1QTNF12,105,87,72,4,4,30,46
UBE2J2,2734,2019,2605,600,399,1570,1726
SCNN1D,56,38,87,5,7,44,97
ACAP3,420,301,562,92,77,346,474
MIR6726,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0
PUSL1,880,710,1069,165,138,638,715
INTS11,1260,818,1551,146,147,616,906
MIR6727,0,0,0,0,0,0,0
CPTP,706,406,603,135,90,344,379
TAS1R3,11,4,9,1,0,8,5
DVL1,721,616,987,123,218,468,606
MIR6808,0,0,0,0,0,0,0
MXRA8,5300,1477,1585,279,1450,682,2489
AURKAIP1,9557,8667,14197,1833,1856,7936,9341
CCNL2,1513,1218,1723,308,272,1362,1541
MRPL20-AS1,608,389,580,106,80,447,411
MRPL20,7739,5668,8374,1115,1100,5901,7206
ANKRD65,0,0,2,0,0,0,0
TMEM88B,0,0,0,0,0,0,0
LINC01770,0,1,1,0,0,0,0
VWA1,20,60,43,4,3,45,27
ATAD3C,3,4,6,0,3,8,7
ATAD3B,207,180,329,35,44,183,221
ATAD3A,655,452,751,131,139,522,487
TMEM240,102,90,228,24,18,96,86
SSU72,10710,7933,13711,1327,1541,7385,6948
FNDC10,339,403,1197,113,134,577,567
LOC105378586,0,1,4,0,0,1,0
MIB2,769,606,992,140,164,698,809
MMP23B,169,66,6,1,1,99,17
MMP23A,36,12,0,0,0,13,0
CDK11B,589,308,460,86,63,158,232
SLC35E2B,90,77,145,11,16,60,65
CDK11A,520,339,421,76,52,162,209
SLC35E2A,181,119,262,41,28,140,191
NADK,955,851,965,141,158,601,618
