H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,118,67,115,2,48,69,36
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,99,93,122,5,45,189,275
LOC102725121,0,0,0,0,0,0,0
FAM138D,0,0,0,0,0,1,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,1,1,0,0,0,0
MIR12136,1,0,0,0,0,0,0
LOC100133331,1,0,0,0,1,1,1
LOC100288069,10,3,7,1,0,3,1
FAM87B,2,1,2,0,0,1,2
LINC00115,30,45,66,2,10,33,53
LINC01128,347,331,360,11,86,171,242
FAM41C,69,61,107,7,20,107,79
LINC02593,4,1,5,0,5,31,6
SAMD11,113,61,201,25,10,349,63
NOC2L,1038,904,1193,82,278,776,672
KLHL17,249,164,255,13,81,223,298
PLEKHN1,70,42,28,3,16,47,40
PERM1,0,1,0,0,0,0,0
HES4,5061,2732,2176,450,526,1151,786
ISG15,7207,25012,3653,2039,867,1975,1689
AGRN,4284,2891,1354,182,1250,993,1746
LOC100288175,69,56,11,9,8,11,9
RNF223,1,0,0,1,0,0,0
C1orf159,120,106,171,10,32,114,163
LINC01342,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0
TNFRSF18,5,74,0,1,1,3,2
TNFRSF4,4,7,9,0,1,11,13
SDF4,6022,4861,7187,352,1770,6742,7482
B3GALT6,2346,1508,2483,114,451,1439,1509
C1QTNF12,151,120,89,1,4,44,73
UBE2J2,3449,2621,2939,179,461,1720,1982
SCNN1D,92,67,107,5,25,90,156
ACAP3,652,489,699,49,169,492,702
MIR6726,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0
PUSL1,1052,894,1236,58,181,662,848
INTS11,1793,1213,1836,85,358,766,1151
MIR6727,0,0,0,0,0,0,0
CPTP,897,565,709,52,139,386,435
TAS1R3,14,6,9,0,1,15,15
DVL1,1131,977,1213,132,593,684,827
MIR6808,0,0,0,0,0,0,0
MXRA8,7394,2334,1878,121,3866,746,3380
AURKAIP1,11958,11608,16461,836,2741,9189,11073
CCNL2,2338,2114,2173,137,741,1932,2456
MRPL20-AS1,744,512,679,32,109,487,521
MRPL20,9556,7307,9453,402,1550,6743,8674
ANKRD65,0,0,1,0,0,0,0
TMEM88B,0,0,0,0,0,0,0
LINC01770,0,1,1,0,0,0,0
VWA1,22,80,55,2,3,18,16
ATAD3C,5,8,7,0,3,12,16
ATAD3B,285,290,405,23,97,298,367
ATAD3A,939,678,946,64,278,704,706
TMEM240,113,128,270,1,28,86,78
SSU72,13023,10275,15396,759,2187,8489,8166
