H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,1,3,1,1,2,0,0
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,0,23,2,0,21,3,10
LOC102725121,0,0,0,0,0,0,0
FAM138D,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0
MIR12136,0,0,0,0,0,0,0
LOC100133331,0,0,0,0,0,0,0
LOC100288069,0,0,0,0,1,0,0
FAM87B,0,0,0,0,0,0,0
LINC00115,0,4,0,0,5,2,1
LINC01128,4,26,2,1,16,1,6
FAM41C,0,2,0,0,3,0,0
LINC02593,0,0,0,0,0,0,1
SAMD11,0,0,0,0,0,0,0
NOC2L,13,76,4,8,63,9,27
KLHL17,2,15,3,0,24,2,5
PLEKHN1,1,3,0,1,4,0,1
PERM1,0,0,0,0,0,0,0
HES4,1,22,0,1,112,3,16
ISG15,15,95,0,7,74,11,58
AGRN,7,78,0,4,55,13,23
LOC100288175,0,14,0,1,51,1,4
RNF223,0,0,0,0,0,0,0
C1orf159,0,14,1,1,14,3,2
LINC01342,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,1,0
TNFRSF18,0,5,0,0,0,1,0
TNFRSF4,0,0,0,0,0,0,0
SDF4,7,94,11,3,81,15,37
B3GALT6,14,83,9,5,63,11,15
C1QTNF12,0,12,0,0,11,1,2
UBE2J2,22,109,6,16,110,13,54
SCNN1D,1,1,0,0,1,0,0
ACAP3,4,16,0,3,20,6,7
MIR6726,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0
PUSL1,16,102,9,10,88,18,26
INTS11,16,68,5,5,61,10,24
MIR6727,0,0,0,0,0,0,0
CPTP,1,14,1,1,22,5,4
TAS1R3,0,1,0,0,0,0,0
DVL1,5,46,8,5,43,12,14
MIR6808,0,0,0,0,0,0,0
MXRA8,1,8,0,1,11,1,3
AURKAIP1,166,1124,92,71,949,163,325
CCNL2,9,65,11,8,92,6,20
MRPL20-AS1,1,61,7,1,47,5,11
MRPL20,143,751,59,51,805,65,219
ANKRD65,0,10,0,0,4,1,6
TMEM88B,0,0,0,0,0,0,0
LINC01770,1,9,0,0,2,0,2
VWA1,11,51,4,6,63,6,28
ATAD3C,0,1,1,0,2,0,1
ATAD3B,14,51,8,5,121,9,39
ATAD3A,14,44,6,4,59,8,16
TMEM240,1,7,1,0,7,2,1
SSU72,114,734,93,55,631,104,212
FNDC10,8,73,9,6,38,16,7
LOC105378586,0,0,0,0,0,0,0
MIB2,3,50,5,6,195,3,22
MMP23B,0,1,0,0,1,0,0
MMP23A,0,0,0,0,1,0,0
CDK11B,4,30,2,3,27,2,5
SLC35E2B,1,12,0,1,10,0,3
CDK11A,8,26,1,1,18,2,1
SLC35E2A,1,23,2,0,16,4,7
NADK,5,56,4,6,39,9,17
GNB1,48,387,23,33,348,58,102
CALML6,0,0,0,0,0,0,0
TMEM52,8,39,4,3,23,3,6
CFAP74,0,0,0,0,0,0,0
GABRD,0,3,0,1,6,1,0
LOC105378591,0,0,0,0,0,0,0
PRKCZ,3,28,3,0,40,5,12
PRKCZ-AS1,0,0,0,0,1,0,1
FAAP20,62,514,31,39,434,66,101
SKI,6,54,4,3,33,12,17
MORN1,0,4,1,0,1,0,0
LOC100129534,0,0,0,0,0,0,0
RER1,34,217,20,9,207,32,65
PEX10,7,48,6,4,56,6,10
PLCH2,0,0,0,0,1,0,0
PANK4,2,4,0,0,8,0,1
HES5,0,0,0,0,0,0,3
TNFRSF14-AS1,0,0,0,0,0,0,0
TNFRSF14,0,0,0,0,0,0,0
LOC100996583,0,0,0,0,0,0,0
PRXL2B,6,61,4,6,33,6,12
MMEL1,0,0,0,0,0,0,0
TTC34,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0
PRDM16-DT,0,0,0,0,0,0,0
PRDM16,0,0,0,0,2,0,0
MIR4251,0,0,0,0,0,0,0
ARHGEF16,1,14,0,2,21,2,14
MEGF6,0,7,0,0,5,0,3
MIR551A,0,0,0,0,0,0,0
TPRG1L,7,24,3,1,25,0,10
WRAP73,5,33,2,0,15,5,13
TP73,0,4,0,1,0,1,1
TP73-AS1,3,35,2,4,7,5,4
CCDC27,0,0,0,0,0,0,0
SMIM1,0,26,0,1,7,1,0
LRRC47,11,63,6,5,88,16,23
CEP104,4,15,0,0,23,3,6
DFFB,5,10,1,0,2,3,3
C1orf174,14,60,6,4,29,13,19
LINC01134,0,0,0,0,0,0,0
LINC01346,0,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0,0
AJAP1,2,9,1,0,0,1,17
MIR4689,0,0,0,0,0,0,0
