H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,112,64,109,5,45,69,37
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,97,91,115,12,47,190,276
LOC102725121,0,0,0,1,0,0,0
FAM138D,0,0,0,0,0,1,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,1,1,0,0,0,0
MIR12136,1,0,0,0,0,0,0
LOC100133331,0,0,0,0,1,1,1
LOC100288069,10,3,8,2,0,6,1
FAM87B,2,1,2,0,0,1,2
LINC00115,32,45,64,5,11,36,57
LINC01128,344,316,331,32,93,170,246
FAM41C,67,59,100,9,23,102,81
LINC02593,5,1,4,3,7,36,6
SAMD11,112,61,190,34,12,342,55
NOC2L,1016,828,1099,125,304,776,680
KLHL17,248,159,244,25,80,232,305
PLEKHN1,75,41,27,13,15,47,62
PERM1,0,1,0,0,0,0,0
HES4,5044,2575,1989,852,762,1145,1066
ISG15,6645,22958,3448,1519,2166,1863,1638
AGRN,4163,2831,1304,288,1261,1061,1860
LOC100288175,94,53,11,14,10,10,39
RNF223,1,0,0,1,0,0,0
C1orf159,120,102,155,16,34,113,169
LINC01342,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0
TNFRSF18,6,69,0,4,2,3,3
TNFRSF4,4,7,9,3,1,11,14
SDF4,5643,4544,6795,554,1718,6796,7436
B3GALT6,2250,1413,2323,226,480,1426,1518
C1QTNF12,139,113,85,4,7,46,77
UBE2J2,3351,2502,2802,411,606,1745,2056
SCNN1D,92,63,102,6,25,88,155
ACAP3,630,475,666,89,189,507,740
MIR6726,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0
PUSL1,1017,836,1155,106,200,670,864
INTS11,1686,1132,1716,131,363,808,1187
MIR6727,0,0,0,0,0,0,0
CPTP,868,525,674,103,162,398,461
TAS1R3,13,6,9,1,2,16,14
DVL1,1048,899,1135,131,521,652,850
MIR6808,0,0,0,0,0,0,0
MXRA8,7071,2248,1787,210,3674,801,3483
AURKAIP1,11434,10693,15413,1346,2926,8816,11114
CCNL2,2332,2059,2077,252,800,2031,2526
MRPL20-AS1,744,491,638,77,121,500,526
MRPL20,9119,6811,8911,743,1701,6516,8531
ANKRD65,0,0,2,0,0,0,0
TMEM88B,0,0,0,0,0,0,0
LINC01770,0,1,1,0,0,0,0
VWA1,22,80,56,2,4,32,26
ATAD3C,5,8,7,0,4,14,15
ATAD3B,284,267,376,36,110,302,375
ATAD3A,893,629,862,101,288,701,700
TMEM240,119,125,256,16,27,97,97
SSU72,12003,9381,14554,1027,2194,7938,8118
FNDC10,434,518,1319,70,274,656,752
LOC105378586,0,1,4,0,0,2,0
MIB2,1080,912,1167,102,391,961,1205
MMP23B,205,87,8,4,2,120,25
MMP23A,39,16,0,0,0,14,0
CDK11B,728,404,486,62,102,176,270
SLC35E2B,131,121,163,9,35,81,100
CDK11A,680,455,462,68,91,188,261
SLC35E2A,228,163,307,30,51,176,268
NADK,1440,1243,1114,132,368,758,831
GNB1,8133,6261,6172,676,2246,4271,4419
CALML6,8,10,7,0,4,5,23
TMEM52,45,31,25,5,9,10,20
CFAP74,0,0,0,0,0,0,0
GABRD,0,0,0,0,1,0,0
LOC105378591,0,0,0,0,0,0,0
PRKCZ,27,16,17,32,11,56,18
PRKCZ-AS1,88,60,43,8,20,44,57
FAAP20,5087,4241,4964,397,1022,2738,5192
SKI,1280,1010,1282,121,360,646,894
MORN1,36,24,57,3,5,35,48
LOC100129534,9,10,8,3,8,8,10
RER1,7887,6923,9290,809,1940,7191,7778
PEX10,1009,784,1240,79,238,555,722
PLCH2,47,10,5,7,10,4,9
PANK4,341,271,207,16,105,190,246
HES5,11,13,2,7,25,5,0
TNFRSF14-AS1,0,0,0,0,0,0,0
TNFRSF14,16,26,0,0,2,2,1
LOC100996583,0,2,0,0,0,0,0
PRXL2B,276,279,289,57,114,174,247
MMEL1,2,0,0,1,0,1,0
TTC34,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0
PRDM16-DT,110,20,27,19,12,0,1
PRDM16,279,67,75,37,62,3,11
MIR4251,0,0,0,0,0,0,0
ARHGEF16,23,52,59,9,10,4,12
MEGF6,1056,197,509,196,70,113,279
MIR551A,0,0,0,0,0,0,0
TPRG1L,1833,1389,1430,212,612,1198,1236
WRAP73,733,599,753,56,183,492,571
TP73,0,0,1,0,0,0,1
TP73-AS1,328,216,339,29,77,166,209
CCDC27,0,0,0,0,0,0,0
SMIM1,101,92,240,18,10,69,93
LRRC47,1397,1044,1221,125,379,843,948
CEP104,832,594,593,89,270,392,480
DFFB,138,81,128,10,32,89,77
C1orf174,1201,996,1183,96,247,809,937
LINC01134,1,1,6,0,0,2,4
LINC01346,0,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0,0
AJAP1,0,0,1,0,1,2,0
MIR4689,0,0,0,0,0,0,0
NPHP4,86,74,95,13,53,76,113
KCNAB2,59,54,82,9,18,22,81
CHD5,40,32,3,27,10,26,27
RPL22,36729,29487,56726,3234,6048,21208,35075
LOC102724450,2,13,20,4,6,13,25
RNF207,136,167,46,6,72,131,189
ICMT,1696,1441,1355,111,675,961,1192
LINC00337,4,4,2,0,2,3,2
HES3,0,0,0,0,0,0,0
GPR153,81,81,140,9,50,41,102
ACOT7,1451,1122,950,270,473,602,1227
HES2,7,4,0,10,3,2,0
ESPN,0,1,0,0,0,1,0
MIR4252,0,0,0,0,0,0,0
TNFRSF25,229,159,250,20,64,147,135
PLEKHG5,364,230,419,34,65,144,175
NOL9,1131,884,868,78,311,521,532
TAS1R1,1,0,1,0,0,0,1
ZBTB48,436,308,423,46,101,228,301
KLHL21,1000,713,821,111,360,550,1041
PHF13,515,335,457,57,118,230,410
THAP3,1138,781,962,128,165,628,586
DNAJC11,672,567,638,55,164,483,614
LINC01672,0,0,0,0,0,0,0
CAMTA1-DT,2,0,2,0,0,0,3
CAMTA1,4617,4015,5200,479,876,3963,4855
CAMTA1-AS2,0,0,0,0,0,0,0
VAMP3,2979,1869,2168,243,584,2048,2164
PER3,89,76,52,19,11,17,51
UTS2,0,1,0,0,0,0,0
TNFRSF9,1,0,0,0,0,0,5
PARK7,25775,21531,25605,2011,4417,14652,18015
ERRFI1,2254,2898,3354,272,1407,1176,2185
LINC01714,8,10,0,0,1,1,3
SLC45A1,206,134,63,21,32,79,96
RERE,1870,933,1174,347,322,1589,1365
RERE-AS1,4,3,3,0,1,3,4
SNORD128,0,0,0,0,0,0,1
ENO1,11305,9535,15916,1567,3344,9323,10602
MIR6728,0,0,0,0,0,0,0
ENO1-AS1,13,24,37,1,3,26,35
CA6,0,0,0,0,0,0,0
SLC2A7,0,0,0,0,0,0,0
SLC2A5,5,3,0,1,17,321,83
GPR157,127,60,62,5,30,56,109
MIR34AHG,310,202,212,25,77,187,246
MIR34A,0,0,0,0,0,0,0
LNCTAM34A,641,370,404,37,90,216,290
H6PD,607,584,1431,39,227,393,796
SPSB1,3357,936,993,73,479,1570,1315
LINC02606,89,71,63,3,12,36,21
SLC25A33,1249,827,1090,153,229,766,653
TMEM201,119,131,158,16,50,127,142
PIK3CD,97,135,242,12,102,123,199
PIK3CD-AS1,0,1,0,0,0,0,0
PIK3CD-AS2,320,384,369,13,22,105,276
CLSTN1,2448,2049,2260,194,920,1903,3066
CTNNBIP1,1687,1336,1993,156,458,1119,1148
LZIC,2263,1869,2072,175,489,983,1326
NMNAT1,584,417,779,50,107,251,370
TMEM274P,0,0,0,0,0,0,0
MIR5697,0,0,0,0,0,0,0
RBP7,15,8,14,19,2,3,3
UBE4B,676,527,955,60,196,442,554
KIF1B,1781,1257,1475,192,512,672,908
RNU6-1,0,0,0,0,0,0,0
RNU6-2,0,0,0,0,0,0,0
RNU6-7,0,0,0,0,0,0,0
RNU6-8,0,0,0,0,0,0,0
RNU6-9,0,0,0,0,0,0,0
PGD,1083,784,4407,132,564,3336,2145
CENPS,419,471,562,50,147,321,281
