H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,44,37,67,14,8,21,19
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,16,29,29,17,1,24,37
LOC102725121,0,0,0,0,0,0,0
FAM138D,0,0,0,0,0,2,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0
MIR12136,0,0,0,0,0,0,0
LOC100133331,0,0,0,0,0,0,0
LOC100288069,2,1,3,2,0,2,1
FAM87B,0,1,0,0,0,0,0
LINC00115,20,28,26,1,8,20,23
LINC01128,227,174,222,70,48,91,157
FAM41C,24,60,60,42,10,23,52
LINC02593,0,3,72,5,1,12,7
SAMD11,17,84,770,38,40,211,57
NOC2L,946,1091,1651,446,275,633,690
KLHL17,152,110,181,81,42,101,168
PLEKHN1,116,69,94,47,8,28,173
PERM1,2,4,0,0,1,1,3
HES4,4279,3981,663,1658,669,798,2533
ISG15,3814,3358,1796,2886,4439,1851,1202
AGRN,1396,1545,1281,798,317,642,1613
LOC100288175,69,123,36,31,6,8,146
RNF223,0,0,0,0,0,0,0
C1orf159,57,59,93,33,18,55,89
LINC01342,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0
TNFRSF18,8,38,0,0,0,1,0
TNFRSF4,1,3,2,2,0,4,5
SDF4,2500,2982,3281,1489,864,4194,3072
B3GALT6,1315,1389,1433,744,384,985,1053
C1QTNF12,29,64,27,9,1,17,23
UBE2J2,2309,2595,2049,1095,462,1349,1451
SCNN1D,15,10,9,7,2,7,17
ACAP3,341,388,458,178,123,256,401
MIR6726,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0
PUSL1,942,1190,1024,416,248,707,803
INTS11,917,1075,1229,430,205,527,845
MIR6727,0,0,0,0,0,0,0
CPTP,606,507,558,278,125,321,420
TAS1R3,1,2,1,0,0,1,3
DVL1,577,402,758,190,245,215,461
MIR6808,0,0,0,0,0,0,0
MXRA8,1495,692,218,686,1289,747,1779
AURKAIP1,9637,11647,11603,4679,2532,7590,7783
CCNL2,1239,1388,978,654,237,836,902
MRPL20-AS1,276,352,375,194,68,339,227
MRPL20,7645,8094,7259,3180,1665,5188,4514
ANKRD65,0,0,1,0,2,0,2
TMEM88B,0,0,0,0,0,0,0
LINC01770,0,3,4,0,0,1,1
VWA1,56,334,353,8,17,81,230
ATAD3C,3,9,2,0,0,3,3
ATAD3B,358,970,751,133,147,284,204
ATAD3A,952,1155,1224,327,279,527,478
TMEM240,47,88,109,59,12,70,141
SSU72,7246,7380,7173,2801,1758,5419,5362
FNDC10,356,394,747,228,122,568,595
LOC105378586,0,0,1,0,0,0,0
MIB2,354,580,610,231,95,488,562
MMP23B,23,24,2,5,1,100,2
MMP23A,8,11,0,4,0,7,0
CDK11B,458,511,404,190,78,143,206
SLC35E2B,50,60,55,20,16,45,48
