H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,103,84,176,56,37,47,49
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,50,72,102,47,24,72,203
LOC102725121,0,0,0,0,0,0,0
FAM138D,0,0,0,0,0,4,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0
MIR12136,1,1,0,1,0,0,0
LOC100133331,0,0,0,0,0,0,1
LOC100288069,5,5,6,4,2,7,3
FAM87B,1,1,0,1,0,0,0
LINC00115,36,63,68,27,25,45,59
LINC01128,559,443,589,286,194,230,488
FAM41C,82,136,173,125,71,61,143
LINC02593,2,11,121,22,11,30,13
SAMD11,35,132,1548,169,136,499,116
NOC2L,1969,2362,4262,1523,1073,1346,1864
KLHL17,357,308,459,310,178,237,502
PLEKHN1,293,147,203,154,42,49,409
PERM1,2,7,0,1,3,1,7
HES4,10463,10280,2391,7441,3880,1670,7849
ISG15,8662,8098,4189,9593,18524,3858,3417
AGRN,3592,4386,3192,2753,1784,1766,5811
LOC100288175,146,289,89,239,51,23,349
RNF223,0,0,0,1,0,0,0
C1orf159,178,191,334,145,90,144,282
LINC01342,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0
TNFRSF18,37,82,0,3,0,1,14
TNFRSF4,4,7,6,7,3,12,14
SDF4,6502,8122,8504,6847,4286,10930,11672
B3GALT6,3271,3407,3792,2867,2003,2334,3484
C1QTNF12,84,151,57,17,11,43,86
UBE2J2,5160,6131,5404,4476,2176,3064,3974
SCNN1D,34,44,29,36,12,44,90
ACAP3,887,1023,1265,720,633,635,1337
MIR6726,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0
PUSL1,2276,2721,2690,1656,999,1662,1972
INTS11,1965,2489,3211,1459,826,1184,1986
MIR6727,0,0,0,0,0,0,0
CPTP,1435,1385,1488,1269,646,747,1371
TAS1R3,4,8,2,0,3,1,17
DVL1,1502,1058,2149,866,1461,520,1511
MIR6808,0,0,0,0,0,0,0
MXRA8,3364,1481,486,3183,5665,1515,4083
AURKAIP1,22399,28317,31790,17868,11591,17364,21913
CCNL2,2907,3716,2672,2983,1204,2200,3603
MRPL20-AS1,727,921,869,855,369,883,758
MRPL20,17729,19201,19097,12317,7962,11869,13631
ANKRD65,0,0,2,0,3,1,2
TMEM88B,0,0,0,0,0,0,0
LINC01770,0,7,6,1,0,2,1
VWA1,142,691,771,33,42,166,383
ATAD3C,8,25,7,2,2,3,5
ATAD3B,766,2033,2359,398,500,546,592
ATAD3A,2214,2602,3752,1280,1161,1199,1250
TMEM240,112,228,241,232,63,188,387
SSU72,17324,17918,18635,11065,8520,13641,15615
FNDC10,753,889,1896,952,546,1299,1452
LOC105378586,0,2,1,1,0,0,0
MIB2,901,1463,1398,995,575,1300,2077
MMP23B,65,64,4,21,4,167,13
MMP23A,22,24,0,9,2,13,0
CDK11B,1048,1215,1215,760,358,346,514
SLC35E2B,138,160,158,90,82,120,196
CDK11A,762,851,973,607,238,384,372
SLC35E2A,222,308,320,376,143,369,536
NADK,1427,2202,2354,1292,972,1052,2045
GNB1,13452,15883,15309,9330,7578,5791,15112
CALML6,0,6,1,2,2,10,12
TMEM52,40,90,77,34,29,31,37
CFAP74,0,0,0,0,0,1,0
GABRD,0,0,0,0,0,0,1
LOC105378591,0,0,0,1,0,0,0
PRKCZ,41,49,95,433,39,115,109
PRKCZ-AS1,43,71,37,58,42,29,78
FAAP20,8435,10627,8457,7074,3680,5545,12321
SKI,1079,1265,1105,909,539,441,1133
MORN1,35,70,80,32,18,53,37
LOC100129534,1,3,1,3,5,11,11
RER1,15300,18835,16864,11742,7809,15705,17737
PEX10,838,1337,2017,850,610,1056,1031
PLCH2,269,352,19,160,80,13,71
PANK4,228,222,437,115,169,155,399
HES5,103,26,10,12,72,3,17
TNFRSF14-AS1,0,0,0,0,0,0,0
TNFRSF14,8,32,0,0,1,0,0
LOC100996583,0,0,0,0,0,0,0
PRXL2B,691,724,1137,613,420,314,700
MMEL1,0,0,1,1,0,0,0
TTC34,0,0,0,0,1,0,0
ACTRT2,0,0,0,0,0,0,0
PRDM16-DT,139,60,26,322,87,0,0
PRDM16,292,189,46,439,194,0,1
MIR4251,0,0,0,0,0,0,0
ARHGEF16,36,67,52,24,7,12,32
MEGF6,739,362,220,2595,223,49,403
MIR551A,0,0,0,0,0,0,0
TPRG1L,1754,1849,1604,2614,1190,1062,2826
WRAP73,882,846,1066,590,410,635,727
TP73,0,0,5,0,0,0,0
TP73-AS1,204,347,393,248,140,255,437
CCDC27,0,0,0,0,0,0,0
SMIM1,152,413,368,346,51,410,320
LRRC47,1474,1513,1889,1340,834,907,1563
