H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,48,33,23,39,25,10,28
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,32,33,40,29,20,25,161
LOC102725121,0,0,0,0,0,0,0
FAM138D,0,0,0,0,0,1,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0
MIR12136,0,0,0,1,0,0,0
LOC100133331,0,0,0,0,0,0,1
LOC100288069,2,1,0,2,2,2,2
FAM87B,1,0,0,1,0,0,0
LINC00115,11,21,9,20,10,11,34
LINC01128,251,202,102,185,117,61,317
FAM41C,47,61,28,73,51,19,83
LINC02593,2,7,12,15,10,8,4
SAMD11,12,20,92,99,51,100,47
NOC2L,764,752,579,968,574,268,1068
KLHL17,170,153,83,207,107,57,311
PLEKHN1,145,52,39,99,27,3,218
PERM1,0,3,0,1,2,0,4
HES4,4696,5135,350,5205,2744,467,4993
ISG15,4007,3744,895,6200,11763,1047,2091
AGRN,1845,2365,820,1788,1300,591,3981
LOC100288175,59,115,19,179,40,10,183
RNF223,0,0,0,1,0,0,0
C1orf159,78,90,54,93,55,39,181
LINC01342,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0
TNFRSF18,23,35,0,3,0,0,12
TNFRSF4,2,1,0,4,3,4,9
SDF4,3362,4112,1625,4889,2992,2826,8140
B3GALT6,1605,1474,737,1916,1372,677,2293
C1QTNF12,40,74,14,8,10,9,59
UBE2J2,2238,2438,848,2970,1342,691,2325
SCNN1D,17,31,8,24,10,15,70
ACAP3,435,500,310,484,449,185,883
MIR6726,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0
PUSL1,1002,1131,515,1089,624,430,1088
INTS11,745,977,437,918,471,238,1037
MIR6727,0,0,0,0,0,0,0
CPTP,693,699,344,903,452,194,883
TAS1R3,3,5,0,0,2,0,14
DVL1,754,436,403,602,1039,129,959
MIR6808,0,0,0,0,0,0,0
MXRA8,1563,567,41,2279,3658,271,2119
AURKAIP1,9916,11309,5308,11792,7263,4296,13080
CCNL2,1399,1934,664,2094,834,637,2551
MRPL20-AS1,380,464,150,588,252,261,499
MRPL20,7863,7838,3716,8263,5225,3028,8590
ANKRD65,0,0,1,0,0,0,0
TMEM88B,0,0,0,0,0,0,0
LINC01770,0,2,1,1,0,1,0
VWA1,48,227,158,21,16,23,126
ATAD3C,5,13,0,2,1,0,2
ATAD3B,259,516,337,222,194,97,355
ATAD3A,915,814,459,838,627,265,699
TMEM240,44,111,38,157,49,50,227
SSU72,8061,7737,3392,7432,5784,3667,9503
FNDC10,279,338,370,641,327,354,789
LOC105378586,0,1,0,1,0,0,0
MIB2,459,715,312,672,429,341,1440
MMP23B,35,34,0,15,2,28,11
MMP23A,10,9,0,5,2,2,0
CDK11B,411,407,135,498,180,77,271
SLC35E2B,66,85,33,64,54,28,144
CDK11A,278,288,123,404,129,69,176
SLC35E2A,117,174,62,268,111,118,376
NADK,800,1245,566,940,752,295,1484
GNB1,6810,7650,3091,6464,5271,1744,10591
CALML6,0,4,0,1,1,5,9
TMEM52,17,28,9,17,15,9,19
CFAP74,0,0,0,0,0,0,0
GABRD,0,0,0,0,0,0,1
LOC105378591,0,0,0,1,0,0,0
PRKCZ,25,35,18,292,29,38,61
PRKCZ-AS1,20,41,6,33,29,9,53
FAAP20,3771,4705,1772,4615,2478,1482,7585
SKI,548,564,243,645,385,125,807
MORN1,14,24,16,22,14,9,22
LOC100129534,1,3,0,3,4,5,9
RER1,6915,8140,3221,7851,4896,3576,10795
PEX10,381,520,343,570,380,257,544
PLCH2,131,163,3,109,71,5,42
PANK4,90,102,47,75,98,37,235
HES5,33,10,3,5,45,0,9
TNFRSF14-AS1,0,0,0,0,0,0,0
TNFRSF14,4,14,0,0,1,0,0
LOC100996583,0,0,0,0,0,0,0
PRXL2B,325,278,169,397,267,93,425
MMEL1,0,0,0,0,0,0,0
TTC34,0,0,0,0,1,0,0
ACTRT2,0,0,0,0,0,0,0
PRDM16-DT,64,24,3,204,60,0,0
PRDM16,136,79,3,295,127,0,0
MIR4251,0,0,0,0,0,0,0
ARHGEF16,5,14,4,4,0,1,14
MEGF6,354,254,38,1833,201,17,250
MIR551A,0,0,0,0,0,0,0
TPRG1L,898,1077,493,1863,914,347,2193
